URL;Image;Retailer;Brand;Product Name;Caliber;Price
/p/magtech/9-mm-luger-vollmantel-7-45g-115grs/144800?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144800_ha_v1.jpg;Frankonia;Magtech;9 mm Luger Vollmantel 7,45g/115grs.;9mm Luger;18,99
/p/magtech/9-mm-luger-steel-vollmantel-7-5g-115grs/2017703?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p2017703_ha_v1.jpg;Frankonia;Magtech;9 mm Luger Steel Vollmantel 7,5g/115grs.;9mm Luger;15,80
/p/sellier-bellot/45-acp-tfmj-nontox-14-9g-230grs/138091?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p138091_ha.jpg;Frankonia;Sellier & Bellot;.45 ACP TFMJ NonTox 14,9g/230grs.;.45 ACP;29,99
/p/sellier-bellot/357-mag-blei-flachkopf-10-2g-158grs/172125?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p172125_ha.jpg;Frankonia;Sellier & Bellot;.357 Mag. Blei Flachkopf 10,2g/158grs.;.357 Magnum;25,99
/p/magtech/38-special-sjsp-10-2g-158grs/144839?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144839_ha_v1.jpg;Frankonia;Magtech;.38 Special SJSP 10,24g/158grs.;.38 Special;28,70
/p/topshot-competition/357-magnum-teilmantel-hp-10-2g-158-grs/172552?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p172552_ha.jpg;Frankonia;TOPSHOT Competition;.357 Magnum Teilmantel HP 10,2g/158grs.;.357 Magnum;28,99
/p/magtech/38-special-blei-flachkopf-10-2g-158grs/144893?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144893_ha_v1.jpg;Frankonia;Magtech;.38 Special Blei Flachkopf 10,2g/158grs.;.38 Special;25,50
/p/magtech/357-magnum-vollmantel-flachkopf-10-2g-158grs/144863?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144863_ha_v1.jpg;Frankonia;Magtech;.357 Magnum Vollmantel Flachkopf 10,2g/158grs.;.357 Magnum;30,99
/p/magtech/45-acp-feb-clean-range-14-9g-230grs/144902?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p144902_ha_v1.jpg;Frankonia;Magtech;.45 ACP FEB Clean Range 14,9g/230grs.;.45 ACP;31,99
/p/sellier-bellot/357-mag-teilmantel-nontox-10-2g-158grs/122754?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p122754_ha.jpg;Frankonia;Sellier & Bellot;.357 Mag. Teilmantel NonTox 10,2g/158grs.;.357 Magnum;29,99
